NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ALLIOD WOOD, 57 RUE JEANNE D'ARC 69003 LYON,69003,846274.8618396507,6518555.701833392
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BESMO FENETRES ET PORTES,HELLODOM 12 RUE DE LA PART-DIEU 69003 LYON,69003,843163.7591815542,6519391.537285264
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LGMH,10-12 10 BOULEVARD MARIUS VIVIER-MERLE 69003 LYON,69003,844351.0910242146,6519783.145870794
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CERAMICHE CAESAR SPA, 201 RUE DUGUESCLIN 69003 LYON,69003,843692.666415738,6519655.832327485
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SECURIBAT RHONE ALPES, 41 COURS DOCTEUR LONG 69003 LYON,69003,846413.8900217372,6518373.842590511
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PHILIPPE MATERIAUX, 5 PLACE CHARLES BERAUDIER 69003 LYON,69003,844507.2989042128,6519650.636735419
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DECAMATERIAUX, 156 RUE MONCEY 69003 LYON,69003,843971.1475962856,6519881.968058451
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CH LEROUX, 254 RUE VENDOME 69003 LYON,69003,843572.0013307976,6519197.130395543
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,HADES DISTRIBUTION, 254 RUE VENDOME 69003 LYON,69003,843572.0013307976,6519197.130395543
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MONEGOCE, 254 RUE VENDOME 69003 LYON,69003,843572.0013307976,6519197.130395543
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ENERGIE GROUP FRANCE, 44 ROUTE DE GENAS 69003 LYON,69003,846106.6151819511,6518975.473178575
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,COMAP, 94 COURS RICHARD VITTON 69003 LYON,69003,847430.6066917551,6518802.079821681
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CODA CORP, 12 RUE DE LA PART-DIEU 69003 LYON,69003,843163.7591815542,6519391.537285264
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,"MB ""PARINATUS""", 254 RUE VENDOME 69003 LYON,69003,843572.0013307976,6519197.130395543
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EXCEL MENUISERIES, 27 RUE MAURICE FLANDIN 69003 LYON,69003,844826.4431133934,6519608.729785761
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PORCELANOSA FRANCE, 37 COURS DE LA LIBERTE 69003 LYON,69003,843210.4059373956,6519441.723611054
46.73B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de decoration,AKZO NOBEL DISTRIBUTION,DU 19 AU 21 19 COURS DE LA LIBERTE 69003 LYON,69003,843207.1784343668,6519433.428286566
