NAF,Nom,Complement_adresse,Numero_voie,Type_voie,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,CoordonneesLambertAbscisse,CoordonneesLambertOrdonnee
46.73A,CONCEPT-EQUIPEMENT,"",19,RUE,LOUISE LABE,69720,SAINT-BONNET-DE-MURE,858201.4982535659,6512099.417850803
46.73A,ENER-RENOV,"",50,AVENUE,DU PROGRES,69680,CHASSIEU,852756.5677896517,6516688.530590566
46.73A,GROUPE BIEN CHEZ SOI HABITAT,BATIMENT 9,21,RUE,ARISTIDE BRIAND,69800,SAINT-PRIEST,850461.9974204608,6512108.725402703
46.73A,KARA OUVERTURE GIVORS,"",6,QUAI,ROSENBERG,69700,GIVORS,0,0
46.73A,FORESTBOIS,"","","",AZOLE,69790,PROPIERES,0,0
46.73A,CANPOLAT,CHEZ MAGNA GESTIO LYON,143,RUE,PIERRE CORNEILLE,69003,LYON,843392.65534575,6519405.213004826
46.73A,NAT'HABITAT,"",205,RUE,DES CHANTIERS DU BEAUJOLAIS,69400,LIMAS,833032.6931134217,6543318.3771378
46.73A,SEV CONCEPT,"",2,RUE,DE LA DOULLINE,69340,FRANCHEVILLE,836964.5573346713,6516890.839798404
46.73A,SAMPLES ROOM,"",24,CHEMIN,DE LA GRANGE,69680,CHASSIEU,852650.4850771775,6517735.3147240905
46.73A,[ND],[ND],[ND],[ND],[ND],[ND],SARCEY,[ND],[ND]
46.73A,A2EC,"",3,RUE,DES CEDRES BLEUS,69800,SAINT-PRIEST,851243.8883356021,6512951.064023688
46.73A,COSTA RENOVATION,"",16,QUAI,ROMAIN ROLLAND,69005,LYON,842143.5418427065,6519792.036405213
46.73A,CORRADI FRANCE SAS,"",6,RUE,DE GENEVE,69800,SAINT-PRIEST,854826.4858999732,6514229.722742529
46.73A,ALLIOD WOOD,"",57,RUE,JEANNE D'ARC,69003,LYON,846274.8618396507,6518555.701833392
46.73A,BESMO FENETRES ET PORTES,HELLODOM,12,RUE,DE LA PART-DIEU,69003,LYON,843163.7591815542,6519391.537285264
46.73A,LM BATIMENT ET DEVELOPPEMENT,"",4,RUE,DE LA REPUBLIQUE,69001,LYON,842672.7025733468,6520239.532538083
46.73A,CHARROIN SA,"",12,RUE,DU GENERAL DE GAULLE,69530,BRIGNAIS,837279.6898833829,6509921.3442871785
46.73A,D'KOMAT,"",6,AVENUE,DOCTEUR SCHWEITZER,69330,MEYZIEU,857580.4147422306,6520276.168247518
46.73A,ALLIANCE EURASIA,"",41,AVENUE,GRANDCLEMENT,69120,VAULX-EN-VELIN,848599.3583233444,6520678.252491542
46.73A,CODIGREG,"",1,CHEMIN,DU LORTARET,69800,SAINT-PRIEST,852180.8374972579,6514459.081960533
46.73A,GREEN HOME SOLUTION FRANCE,"",4,RUE,MAURICE AUDIBERT,69800,SAINT-PRIEST,849697.9898960141,6514015.261990905
46.73A,DECOGRANIT NEGOCE,BAT 7,7,CHEMIN,DE SACUNY,69530,BRIGNAIS,837781.4526216693,6510440.094445448
46.73A,GROUP HAK ASSET MANAGEMENT.,"",4,RUE,MAURICE AUDIBERT,69800,SAINT-PRIEST,849697.9898960141,6514015.261990905
46.73A,BDC,"",34,RUE,DE LA QUARANTAINE,69005,LYON,841591.1241119301,6518654.130463174
46.73A,PIM MOBILITY,LE VILLAGE BY CA,1,AVENUE,DE CHAMPFLEURY,69410,CHAMPAGNE-AU-MONT-D'OR,839011.7767701985,6523701.031489269
46.73A,HDR SERVICES,"",796,QUAI,PIERRE DUPONT,69270,ROCHETAILLEE-SUR-SAONE,842493.8440922622,6529149.482270192
46.73A,H1'TR,"","","",PLAT DES GRANGES,69870,CLAVEISOLLES,0,0
46.73A,BATI CENTRAL,"",86,RUE,DE VERDUN,69100,VILLEURBANNE,847526.2125819299,6521704.085367919
46.73A,DUMALOU,"",96,AVENUE,DU PROGRES,69680,CHASSIEU,852623.1234217249,6515841.629414757
46.73A,MONKITISOLATION,"",6,CHEMIN,DE CHALIN,69130,ECULLY,839189.150541594,6521359.171951862
46.73A,NOMAD,"",58,ROUTE,DE GENEVE,69140,RILLIEUX-LA-PAPE,846950.7157551616,6524824.131663916
46.73A,SCP REALISATIONS,"",38,RUE,JEAN MOULIN,69300,CALUIRE-ET-CUIRE,843320.0367159066,6523743.008286068
46.73A,TCM DIFFU,"",200,RUE,DES SOURCES,69280,MARCY-L'ETOILE,832456.1996487398,6522484.365591987
46.73A,INTERALUM PROFILES,"",27,RUE,PAUL BERTHOUD,69220,BELLEVILLE-EN-BEAUJOLAIS,0,0
46.73A,MR ISO NEGOCE,"",23,RUE,DU LYONNAIS,69800,SAINT-PRIEST,849168.4589343694,6512797.89442237
46.73A,B DIRECT,"",3,SQUARE,AVERROES,69009,LYON,839397.198895112,6522430.591515819
46.73A,IFF LYON SUD,"",1537,ROUTE,DE BEAUCAIRE,69700,LOIRE-SUR-RHONE,841276.7147059315,6497048.6277323235
46.73A,TOUT PALETTE NEGOCE,"",3,RUE,DES ETATS UNIS,69800,SAINT-PRIEST,849705.925615496,6512805.082007173
46.73A,CPI,"",2,CLOS,DE LA TOUR,69970,CHAPONNAY,850407.7916877274,6505294.121568043
46.73A,CONTROLE DE NIVEAU DEBIT PRESSION,"",1355,CHE,DE ST ANDRE,69760,LIMONEST,0,0
46.73A,GS PRO,"",7,RUE,TRONCHET,69006,LYON,843315.0059695586,6520559.086698786
46.73A,SOVIPAR SARL,"",1460,"",ROUTE NATIONALE 6,69400,LIMAS,0,0
46.73A,LES CARRELAGES DE LA VALLEE,"",60,AVENUE,DES FRERES LUMIERE,69730,GENAY,841159.9815898335,6533558.577781748
46.73A,M P P F,VOIE C E,23,RUE,DES BRUYERES,69330,PUSIGNAN,861514.4024659251,6520451.456827376
46.73A,ETS ACHARD CENTRALE EMBALLAGES,"",45,RUE,JOLIOT-CURIE,69780,MIONS,850794.7987212872,6510909.837722118
46.73A,CALLAIT MENUISERIES ET FERMETURES,"",21,ROUTE,DE LA TAQUIERE,69420,AMPUIS,840905.9320716957,6489209.61587608
46.73A,MULTISERVICE BATI PRO,"",12,RUE,LOUIS DE FUNES,69800,SAINT-PRIEST,849289.921466874,6513722.0649484545
46.73A,ATOUT PROFESSIONNEL SERVICES,"",73,CHE,DES SOURCES,69230,SAINT-GENIS-LAVAL,0,0
46.73A,WOOD ET PLY,"",42,AVENUE,DU PROGRES,69680,CHASSIEU,852822.5641431761,6516828.030142307
46.73A,ACIER VERRE ET NATURE,"",2,QUAI,GENERAL SARRAIL,69006,LYON,843103.2632364666,6520295.1031723125
46.73A,M.S.D.A,"",33,RUE,DE LA REPUBLIQUE,69002,LYON,842686.0861748456,6519801.074500248
46.73A,EUROFEN'S,"",33,RUE,ERNEST RENAN,69120,VAULX-EN-VELIN,848123.3031278765,6522396.192955036
46.73A,MIDOL MENUISERIE INDUSTRIELLE DE L' OUEST LYONNAIS,"",76,ROUTE,DE BRIGNAIS,69630,CHAPONOST,837468.0142709288,6512675.651236213
46.73A,CVA,"",4,IMPASSE,D'YPRES,69004,LYON,841111.6466408907,6522071.353613935
46.73A,JOSE FERNANDEZ SELECTION,"",170,RUE,DU NIZERAND,69400,VILLEFRANCHE-SUR-SAONE,832292.7241408405,6545843.0775791835
46.73A,INTERMIND,"",25,RUE,JEAN JAURES,69740,GENAS,856766.2686632922,6517488.4649646925
46.73A,INOGREEN,"",283,RUE,DE L'ETANG,69760,LIMONEST,838112.4345867835,6524760.505975586
46.73A,BLOCMOBIL,ZAC,"","",LA VALLEE,69550,SAINT JEAN LA BUSSIERE,0,0
46.73A,SARL MENUI'PRO,"",97,AVENUE,DE LANESSAN,69410,CHAMPAGNE-AU-MONT-D'OR,839037.9561698766,6523526.453178534
46.73A,ECOHOUSE FRANCE,"",410,COURS,EMILE ZOLA,69100,VILLEURBANNE,848251.5017966656,6520059.323314789
46.73A,MINE ASHEM,"",12,CHEMIN,CLAUDE DEBUSSY,69120,VAULX-EN-VELIN,849832.503694243,6521787.758611683
46.73A,OLTERRE,"",105,"",SUD RTE NATIONALE 6,69380,LISSIEU,0,0
46.73A,TARARE MATERIAUX,"",780,BOULEVARD,DE LA TURDINE,69490,SAINT-FORGEUX,813503.8070643708,6532832.665952539
46.73A,STA GROUP FRANCE,"",2,RUE,CHARRIN,69100,VILLEURBANNE,846814.5558364488,6519160.215195848
46.73A,AQUAEVA SERVICES,BATIMENT ARTIPOLIS,"",RUE,DES MURIERS,69390,VOURLES,836888.0576949565,6507883.74943295
46.73A,SARL DUPERRET DISTRIBUTION,"","","",BOIS BOTTON,69790,PROPIERES,0,0
46.73A,DECK-KING,"",5,RUE,DE LA TERRE NOBLE,69126,BRINDAS,832421.324433243,6514771.9999763565
46.73A,ARTINOM,"",43,RUE,DES EPARRES,69170,AFFOUX,808857.0239500976,6528233.154346619
46.73A,TOPALETTE,"",2,RUE,LUCIE AUBRAC,69120,VAULX-EN-VELIN,849174.7811090362,6521436.255162935
46.73A,INOLYS,"",42,RUE,VAUCANSON,69150,DECINES-CHARPIEU,850767.0398439735,6518958.345859954
