NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee,gps_lon,gps_lat
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ENERGIE GROUP FRANCE, 44 ROUTE DE GENAS 69003 LYON,69003,846106.6151819511,6518975.473178575,"4,879655","45,754729"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,COMAP, 94 COURS RICHARD VITTON 69003 LYON,69003,847430.6066917551,6518802.079821681,"4,896628","45,752883"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CODA CORP, 12 RUE DE LA PART-DIEU 69003 LYON,69003,843163.7591815542,6519391.537285264,"4,841934","45,759099"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EXCEL MENUISERIES, 27 RUE MAURICE FLANDIN 69003 LYON,69003,844826.4431133934,6519608.729785761,"4,863384","45,760703"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PORCELANOSA FRANCE, 37 COURS DE LA LIBERTE 69003 LYON,69003,843210.4059373956,6519441.723611054,"4,842549","45,759541"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CVA, 4 IMPASSE D'YPRES 69004 LYON,69004,841111.6466408907,6522071.353613935,"4,816334","45,783652"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,COSTA RENOVATION, 16 QUAI ROMAIN ROLLAND 69005 LYON,69005,842143.5418427065,6519792.036405213,"4,828932","45,762918"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BDC, 34 RUE DE LA QUARANTAINE 69005 LYON,69005,841591.1241119301,6518654.130463174,"4,821489","45,752789"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EXLL-EXPORT LOGS & LUMBERS, 2 PLACE SAINT JEAN 69005 LYON,69005,841961.6717225385,6519520.677166286,"4,826512","45,760513"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LABEX GMBH,MR MERZ ALOYSIUS 13 RUE SAINT GEORGES 69005 LYON,69005,841885.2123432338,6519313.520836981,"4,825467","45,758664"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,GS PRO, 7 RUE TRONCHET 69006 LYON,69006,843315.0059695586,6520559.086698786,"4,84423","45,769578"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ACIER VERRE ET NATURE, 2 QUAI GENERAL SARRAIL 69006 LYON,69006,843103.2632364666,6520295.1031723125,"4,841427","45,767246"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,GEN GEM, 31 RUE BOILEAU 69006 LYON,69006,843641.17509418,6520898.625333238,"4,848528","45,772566"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LES FERMETURES RHODANIENNES, 7 RUE TRONCHET 69006 LYON,69006,843315.0059695586,6520559.086698786,"4,84423","45,769578"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,UPM WOOD MATERIALS, 191 COURS LAFAYETTE 69006 LYON,69006,844459.67,6519943.21,"4,858768","45,7637919"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LYON STRUCTURES BOIS, 23 COURS FRANKLIN ROOSEVELT 69006 LYON,69006,843470.8278398117,6520511.075951667,"4,84622","45,769113"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,HABITAT MULTI SERVICES, 18 RUE DE GENEVE 69006 LYON,69006,844623.1723566726,6520757.740465417,"4,861118","45,77109"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,STYLUS DECOR PLUS, 128 AVENUE THIERS 69006 LYON,69006,844653.3157769677,6520775.002304672,"4,861511","45,771239"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ECO RENOV EL, 13 RUE DES EMERAUDES 69006 LYON,69006,844614.3382271267,6520568.582376231,"4,860947","45,769389"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD CARRELAGES, 46 AVENUE MARECHAL DE SAXE 69006 LYON,69006,843350.8687860058,6520028.956905506,"4,844532","45,764798"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PERUGINO SERVICES, 64 RUE WALDECK ROUSSEAU 69006 LYON,69006,844407.79,6520020.08,"4,858124","45,764495"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SASU EY PROJECTS, 23 RUE CREPET 69007 LYON,69007,842732.1541470818,6517147.756357153,"4,835712","45,73899"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MENUISERIES PRO, 18 RUE MARIE-MADELEINE FOURCADE 69007 LYON,69007,842974.3011514145,6516903.348030103,"4,838752","45,736739"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ETABLISSEMENT NATIONAL DE L'AMELIORATION DE L'HABITAT, 81 RUE JABOULAY 69007 LYON,69007,843502.914334661,6517888.532503008,"4,845844","45,745497"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AGRU ENVIRONNEMENT FRANCE,BATIMENT B 304 AVENUE JEAN JAURES 69007 LYON,69007,842445.5395061474,6515963.9744701,"4,831674","45,728393"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,WEDI FRANCE SARL,GERLAND TECHNOPARK - IMMEUBLE B 43 RUE SAINT JEAN DE DIEU 69007 LYON,69007,843611.0080585014,6515438.272842372,"4,846497","45,723416"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,NGR DIFFUSION, 36 RUE FELIX BRUN 69007 LYON,69007,842449.27354604,6517036.769299743,"4,832042","45,73805"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DERBIGUM FRANCE,KORNER 2   IMMEUBLE B 13 RUE PIERRE GILLES DE GENNES 69007 LYON,69007,843416.7746514679,6515449.839835993,"4,844004","45,723561"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,K E L Y DISTRIBUTION, 24 RUE DOMER 69007 LYON,69007,843687.5802475861,6518089.689001764,"4,848279","45,747269"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MARAZZI FRANCE TRADING,113-117 113 AVENUE JEAN JAURES 69007 LYON,69007,843101.3993826942,6517570.685793601,"4,840586","45,74272"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DIFFUSION 2000, 33 BOULEVARD YVES FARGE 69007 LYON,69007,842581.9704277215,6517542.380081952,"4,833899","45,742574"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AM EXPRESS, 13 BOULEVARD EDMOND MICHELET 69008 LYON,69008,845931.8374665631,6516478.405015113,"4,876644","45,732287"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ARC MODULAIRE, 41 RUE MARYSE BASTIE 69008 LYON,69008,845723.1734057289,6517180.82036806,"4,874176","45,738655"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MAXS IMPORT, 49 RUE AUDIBERT ET LAVIROTTE 69008 LYON,69008,844513.2876098285,6517015.0316590015,"4,858571","45,73742"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,B DIRECT, 3 SQUARE AVERROES 69009 LYON,69009,839397.198895112,6522430.591515819,"4,794379","45,787239"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AB2D, 1 RUE MARIETTON 69009 LYON,69009,840481.7147747123,6521081.723461568,"4,807937","45,774873"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CFPM, 37 QUAI JAYR 69009 LYON,69009,840478.3375183623,6521147.738639788,"4,807913","45,775468"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LA PLATEFORME, 33 RUE SAINT SIMON 69009 LYON,69009,839649.0054748817,6521337.4104698915,"4,797299","45,777346"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ONE SHOT, 39 AVENUE SIDOINE APOLLINAIRE 69009 LYON,69009,839563.2133029524,6520779.727322876,"4,796032","45,772343"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LEMTRADE, 5 RUE GORGE DE LOUP 69009 LYON,69009,840224.2867267679,6520530.209905268,"4,804463","45,769961"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LIM CONSTRUCTION, 17 RUE DE LA FRATERNELLE 69009 LYON,69009,840178.39,6520388.87,"4,803831","45,768698"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SAMSE, 46 RUE LAURE DIEBOLD 69009 LYON,69009,839652.6011679178,6521507.22181403,"4,797395","45,778874"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMRA, 23 AVENUE SIDOINE APOLLINAIRE 69009 LYON,69009,839518.0683343192,6520884.892449268,"4,795482","45,773299"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BATI CENTRAL, 86 RUE DE VERDUN 69100 VILLEURBANNE,69100,847526.2125819299,6521704.085367919,"4,898755","45,778987"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ECOHOUSE FRANCE, 410 COURS EMILE ZOLA 69100 VILLEURBANNE,69100,848251.5017966656,6520059.323314789,"4,907575","45,764023"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,STA GROUP FRANCE, 2 RUE CHARRIN 69100 VILLEURBANNE,69100,846814.5558364488,6519160.215195848,"4,888816","45,75624"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EUROCOMMERCE BOIS, 23 RUE JULES VALLES 69100 VILLEURBANNE,69100,844917.9448362472,6520520.9831567025,"4,864838","45,768896"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD CARRELAGES, 45 ALLEE DU MENS 69100 VILLEURBANNE,69100,848144.3922965059,6521912.38002423,"4,906773","45,780728"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PPC, 17 RUE PAUL VERLAINE 69100 VILLEURBANNE,69100,846122.07,6520465.01,"4,88031","45,768135"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,FAURE, 205 AVENUE ROGER SALENGRO 69100 VILLEURBANNE,69100,846687.4325711124,6522037.21156139,"4,888066","45,782167"
