NAF,Code_NAF,Nom,Adresse_etablissement,Code_Postal,CoordonneesLambertAbscisse,coordonneesLambertOrdonnee,gps_lon,gps_lat
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,INOLYS, 42 RUE VAUCANSON 69150 DECINES-CHARPIEU,69150,850767.0398439735,6518958.345859954,"4,939582","45,75356"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MONSIEUR FENETRES, 161 AVENUE FRANKLIN ROOSEVELT 69150 DECINES-CHARPIEU,69150,850392.007408279,6518798.957560711,"4,934709","45,752208"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,INOPRO, 42 RUE VAUCANSON 69150 DECINES-CHARPIEU,69150,850767.0398439735,6518958.345859954,"4,939582","45,75356"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ARTMONY, 24 RUE PAUL ET MARC BARBEZAT 69150 DECINES-CHARPIEU,69150,850778.0811287519,6519724.210612293,"4,939966","45,760452"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ONE TWO PALETTE, 70 RUE PAUL ET MARC BARBEZAT 69150 DECINES-CHARPIEU,69150,850724.7882049237,6519263.345356322,"4,939135","45,756315"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,M.F.E, 161 AVENUE FRANKLIN ROOSEVELT 69150 DECINES-CHARPIEU,69150,850392.007408279,6518798.957560711,"4,934709","45,752208"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LCDM CONSEIL & DISTRIBUTION, 65 RUE DE L'EGALITE 69150 DECINES-CHARPIEU,69150,852834.3276327461,6520509.0241244435,"4,966663","45,767059"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ILIOS, 6 RUE CHAMPOLLION 69150 DECINES-CHARPIEU,69150,851767.6635852754,6520707.491397388,"4,953006","45,769084"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,TOUTES LES PORTES T.L.P, 30 RUE PAUL ET MARC BARBEZAT 69150 DECINES-CHARPIEU,69150,850763.5945057697,6519510.017270764,"4,939712","45,758527"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,TARARE MATERIAUX, 4 AVENUE MATHIEU MISERY 69160 TASSIN-LA-DEMI-LUNE,69160,837358.6652804886,6519135.993375079,"4,767198","45,757993"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,RENOV'ROUTE, 6 ALLEE DU RUISSEAU DE RIBBES 69160 TASSIN-LA-DEMI-LUNE,69160,835274.4098768465,6520297.553574604,"4,740721","45,768867"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ALLIANCE BOIS, 58 ROUTE DE PARIS 69160 TASSIN-LA-DEMI-LUNE,69160,836989.7755172901,6520122.899450426,"4,762737","45,766952"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,F BERNARD SA, 45 RUE FRANCOIS MERMET 69160 TASSIN-LA-DEMI-LUNE,69160,837330.3535475583,6519216.33604631,"4,766857","45,758722"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SOCIETE DE DIFFUSION J.AMET, 16 RUE DES CERISIERS 69160 TASSIN-LA-DEMI-LUNE,69160,837714.4833569434,6519561.180276504,"4,771897","45,761749"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ARTINOM, 43 RUE DES EPARRES 69170 AFFOUX,69170,808857.0239500976,6528233.154346619,"4,402674","45,845047"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CHAUSSON MATERIAUX,ZAC CANTUBAS 1 RUE JOSEPH KESSEL 69170 TARARE,69170,810464.9805782274,6535935.7613063175,"4,42518","45,914138"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EURO-CEM FRANCE, 15 RUE CARNOT 69190 SAINT-FONS,69190,844431.79,6513772.64,"4,856543","45,708248"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,RECUP'PALETTES, 14 RUE DU PROFESSEUR ROUX 69200 VENISSIEUX,69200,844428.1,6516036.95,"4,85718","45,728633"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ACHATS VENTES PALETTES, 3 RUE MARIUS VIVIER-MERLE 69200 VENISSIEUX,69200,848000.7900990718,6512200.014280788,"4,901915","45,693326"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AU FAITE, 2 CHEMIN DU GENIE 69200 VENISSIEUX,69200,844817.0525406802,6514649.258048379,"4,861759","45,716058"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SARL JEAN CORNE ET CIE,41/43  RUE ROGER SALENGRO 69200 VENISSIEUX,69200,845273.592246169,6515280.5462508695,"4,867818","45,721644"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,RECYCLE PALETTE, 3 RUE JOHANN STRAUSS 69200 VENISSIEUX,69200,847710.6537952457,6511928.097551623,"4,898104","45,690941"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ECO 3 BOIS, 2 CHEMIN DU GENIE 69200 VENISSIEUX,69200,844817.0525406802,6514649.258048379,"4,861759","45,716058"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LA PLATEFORME, 192 AVENUE FRANCIS DE PRESSENSE 69200 VENISSIEUX,69200,845778.6421379787,6514300.105772834,"4,87401","45,71271"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SECURIBAT RHONE ALPES, 11 AVENUE DE LA REPUBLIQUE 69200 VENISSIEUX,69200,845125.6016949139,6513746.223780449,"4,86545","45,707863"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CERAKASA, 2 CHEMIN DU GENIE 69200 VENISSIEUX,69200,844817.0525406802,6514649.258048379,"4,861759","45,716058"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PANTHERGROUPE FRANCE, 57 AVENUE DE LA REPUBLIQUE 69200 VENISSIEUX,69200,845862.48,6513620.61,"4,87488","45,706575"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,VESUVIUS EUROPE, 41 BOULEVARD MARCEL SEMBAT 69200 VENISSIEUX,69200,846344.0269896549,6514612.3649389725,"4,881371","45,7154"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CHAUSSON MATERIAUX,ZA LES MARTINETS 1099 RUE CLAUDE TERRASSE 69210 L'ARBRESLE,69210,825022.9960122408,6526474.496432642,"4,610464","45,826436"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ETABLISSEMENT LOUIS GENTY, 183 RUE CLAUDE TERRASSE 69210 L'ARBRESLE,69210,825434.7368653264,6527270.088731011,"4,615976","45,833523"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MONTAGNY,LIEU DIT  AU MOIRE  ROUTE DE LOZANNE 69210 SAINT-GERMAIN-NUELLES,69210,826524.1569617359,6528074.667949744,"4,630221","45,840565"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMRA,ZA LA PLAGNE 387 ROUTE DU PRE NEUF 69210 BULLY,69210,820941.0,6530127.06,"4,558825","45,860058"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AUTREMENT PIERRES, 68 RUE DE LA POSTE 69220 BELLEVILLE-EN-BEAUJOLAIS,69220,835190.52,6558314.46,"4,750485","46,111139"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MAISON BOIS ET COUVERTURE RHONE ALPES, 40 RUE BARON CHAURAND 69230 SAINT-GENIS-LAVAL,69230,839909.3567483955,6511545.989326939,"4,79778","45,689145"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BELITH SPECIALTIES, 48 CHEMIN DES OLIVIERS 69230 SAINT-GENIS-LAVAL,69230,838584.5311338835,6511468.977357143,"4,78074","45,688722"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ARTELI SGL, 119 ROUTE DE BRIGNAIS 69230 SAINT-GENIS-LAVAL,69230,837773.5616430868,6513832.498784395,"4,771004","45,710164"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SOLEGNO,LIEUDIT BEAUVERSANT 303 ROUTE DE BRIGNAIS 69230 SAINT-GENIS-LAVAL,69230,837487.7240071909,6512104.479404757,"4,766834","45,694665"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MD PALETTES, 140 ROUTE DE VOURLES 69230 SAINT-GENIS-LAVAL,69230,839225.0579700568,6510477.185576954,"4,788679","45,679663"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BRT EURL, 14 CHEMIN DE PUTET 69230 SAINT-GENIS-LAVAL,69230,839368.9973220831,6512685.27328169,"4,791171","45,699512"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD CARRELAGES,LIEUDIT BEAUVERSANT - RD 42  ROUTE DE BRIGNAIS 69230 SAINT-GENIS-LAVAL,69230,837602.7073002381,6513511.204612396,"4,768716","45,707306"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,FRANS BONHOMME, 25 CHEMIN DE LA MOUCHE 69230 SAINT-GENIS-LAVAL,69230,841246.8916220795,6512230.746593684,"4,815163","45,695034"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,TENHU, 36 AVENUE GAMBETTA 69250 NEUVILLE-SUR-SAONE,69250,842971.4383755154,6531512.853232253,"4,8431","45,868261"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,HDR SERVICES, 796 QUAI PIERRE DUPONT 69270 ROCHETAILLEE-SUR-SAONE,69270,842493.8440922622,6529149.482270192,"4,836237","45,847085"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,FERMETURE 2002, 14 QUAI DE CHAREZIEUX 69270 SAINT-ROMAIN-AU-MONT-D'OR,69270,842107.2459339742,6528212.537664411,"4,830977","45,838731"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CLEF, 333 RUE DU DAVID 69270 FONTAINES-SAINT-MARTIN,69270,844130.5299178055,6529263.969955651,"4,857355","45,847771"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BEAULIEU INVEST, 7 RUE DE LA LIBERATION 69270 FONTAINES-SUR-SAONE,69270,844260.357297092,6527528.04885074,"4,858501","45,832116"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,VARO, 76 RUE PIERRE BOUVIER 69270 FONTAINES-SUR-SAONE,69270,843724.046656613,6527586.7611404,"4,851612","45,832758"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,TCM DIFFU, 200 RUE DES SOURCES 69280 MARCY-L'ETOILE,69280,832456.1996487398,6522484.365591987,"4,705075","45,789108"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SARL ALLIANCE VERANDA ET FERMETURE, 16 RUE DES AQUEDUCS 69290 CRAPONNE,69290,835320.1054010048,6518108.66169839,"4,740688","45,749152"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,FMI, 2 CHEMIN DU BOIS BROUILLAT 69290 GREZIEU-LA-VARENNE,69290,831649.6967696237,6517095.458757105,"4,693209","45,740749"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMRA, 139 AVENUE PIERRE DUMOND 69290 CRAPONNE,69290,833365.0088082689,6517855.931384998,"4,715476","45,747262"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMRA, 134 VOIE ROMAINE 69290 CRAPONNE,69290,834894.8412280945,6518227.594945084,"4,735253","45,750307"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SCP REALISATIONS, 38 RUE JEAN MOULIN 69300 CALUIRE-ET-CUIRE,69300,843320.0367159066,6523743.008286068,"4,845252","45,79824"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DOMELEZIA, 45 COURS ARISTIDE BRIAND 69300 CALUIRE-ET-CUIRE,69300,843515.7650535041,6522321.527430261,"4,847343","45,785402"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DISTRIBUTION AMENAGEMENT ET ISOLATION,13/14  RUE JACQUES MONOD 69320 FEYZIN,69320,844017.2748122918,6510010.890929782,"4,850084","45,674471"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DESIGN STREET, 17 RUE DU 11 NOVEMBRE 1918 69320 FEYZIN,69320,844053.3175205864,6509420.001939917,"4,850369","45,669144"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,D'KOMAT, 6 AVENUE DOCTEUR SCHWEITZER 69330 MEYZIEU,69330,857580.4147422306,6520276.168247518,"5,027632","45,763882"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,M P P F,VOIE C E 23 RUE DES BRUYERES 69330 PUSIGNAN,69330,861514.4024659251,6520451.456827376,"5,078288","45,764539"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EST MULTITRAVAUX PRO, 6 RUE GAMBETTA 69330 MEYZIEU,69330,855050.9967286328,6520466.222854285,"4,995161","45,766173"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CLEF, 6 RUE DE BRETAGNE 69330 MEYZIEU,69330,856821.7627423196,6520122.647800171,"5,017824","45,762675"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,EGE CONSTRUCTION, 53 ROUTE DE JONAGE 69330 PUSIGNAN,69330,860656.2052041355,6520424.147146102,"5,067241","45,764496"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SAINBIOSE, 9 RUE DU PERIGORD 69330 MEYZIEU,69330,857079.3792559117,6519796.753807796,"5,02103","45,759682"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,METALTEQ, 21 RUE JEAN JAURES 69330 MEYZIEU,69330,856886.7836698384,6521635.760964119,"5,019158","45,776281"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,THERMIMUR DISTRIBUTION SAS, 6 IMPASSE MONGE 69330 MEYZIEU,69330,857355.018121856,6520430.682296631,"5,024784","45,765325"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SARL B C D, 47 RUE DE LA GARE 69330 PUSIGNAN,69330,861253.3006183396,6520185.750863731,"5,07484","45,762209"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LEVIAT,LOTISSEMENT LES TACHES  RUE DU LUXEMBOURG 69330 MEYZIEU,69330,857510.8957324766,6519755.604902114,"5,026566","45,759212"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MAURIS BOIS, 4 IMPASSE LIONEL TERRAY 69330 MEYZIEU,69330,856869.4024284325,6520950.575780818,"5,018709","45,770117"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,HORMANN FRANCE SA,SYNTHEX PARC 165 RUE HELENE BOUCHER 69330 PUSIGNAN,69330,862115.223489086,6520235.237378567,"5,085942","45,76245"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SUNCLEAR,ZAC DES GAULNES 1560 AVENUE HENRI SCHNEIDER 69330 JONAGE,69330,858251.300460062,6521684.587525121,"5,036728","45,776405"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SAMSE,ZI DU MARIAGE - VOIE C 21 RUE DES BRUYERES 69330 PUSIGNAN,69330,861589.4974761535,6520392.890561675,"5,079234","45,763994"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMRA, 10 ROUTE NATIONALE 69330 PUSIGNAN,69330,859355.8254349494,6519903.444470076,"5,050342","45,760114"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DISTRIBUTION MATERIAUX BOIS PANNEAUX - D.M.B.P.,5-7-ZI SUD 5 BOULEVARD MONGE 69330 MEYZIEU,69330,857431.006954866,6520590.153595096,"5,025814","45,766743"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SEV CONCEPT, 2 RUE DE LA DOULLINE 69340 FRANCHEVILLE,69340,836964.5573346713,6516890.839798404,"4,761485","45,73786"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,K SCHMID AG, 10 IMPASSE DES GLYCINES 69340 FRANCHEVILLE,69340,837455.0265642141,6518148.883969405,"4,768153","45,749087"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,TOP MODULES,PARC MATERIEL 18 ROUTE DE SEREZIN 69360 TERNAY,69360,841328.4264269364,6503537.7582998825,"4,813645","45,616759"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ED, 325 RUE DES EPARVIERS 69360 SOLAIZE,69360,843048.138130397,6505877.345317317,"4,836404","45,637463"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,P&M DISTRIBUTION,D312 33 ROUTE DE GIVORS 69360 TERNAY,69360,841105.6974506357,6503365.246276572,"4,810737","45,615252"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,Z POOL CONCEPT, 13 CHEMIN DES RIVIERES 69370 SAINT-DIDIER-AU-MONT-D'OR,69370,839802.3739921198,6523085.852359051,"4,799785","45,793055"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PRODISO,ZAC DES ILES 235 RUE MARIE-PAULE RIVE 69380 MARCILLY-D'AZERGUES,69380,833457.1250219992,6531404.207552967,"4,720457","45,869216"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD NEGOCE, 676 ROUTE DE LYON 69380 LOZANNE,69380,831041.3894423695,6529843.631591125,"4,688894","45,855636"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DOMODULIS, 238 CHEMIN DE CONZY 69380 CHATILLON,69380,827212.2551542252,6531560.210743443,"4,640017","45,871817"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,JCVI, 37 RUE DE BATAILLY 69380 CHAZAY-D'AZERGUES,69380,831729.7492875238,6531813.556711034,"4,698309","45,873238"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ARSENERGY, 4 ALLEE DE LA COMBE 69380 LISSIEU,69380,835058.6151473952,6528229.179132838,"4,740194","45,840316"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,MON SOL EN PIERRE, 45 IMPASSE DES SAILLANTS 69380 CHESSY,69380,825659.571491465,6533104.513053992,"4,620414","45,886009"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD CARRELAGES, 676 ROUTE DE LYON 69380 LOZANNE,69380,831041.3894423695,6529843.631591125,"4,688894","45,855636"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AQUAEVA SERVICES,BATIMENT ARTIPOLIS  RUE DES MURIERS 69390 VOURLES,69390,836888.0576949565,6507883.74943295,"4,757923","45,656788"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,NEGO-FLEX, 70 ROUTE DE L'ETRA 69390 CHARLY,69390,839645.0302435956,6506730.870540985,"4,79298","45,645851"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CONCEPT BERTHEAU MENUISERIES, 36 RUE DU GUICHOLET 69390 MILLERY,69390,838935.1750711764,6505482.800693599,"4,783507","45,63476"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,NAT'HABITAT, 205 RUE DES CHANTIERS DU BEAUJOLAIS 69400 LIMAS,69400,833032.6931134217,6543318.3771378,"4,718329","45,97656"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,JOSE FERNANDEZ SELECTION, 170 RUE DU NIZERAND 69400 VILLEFRANCHE-SUR-SAONE,69400,832292.7241408405,6545843.0775791835,"4,70948","45,999434"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD NEGOCE,PARC DE L ECHANGEUR  RUE CHARLES SEVE 69400 VILLEFRANCHE-SUR-SAONE,69400,835112.9162957815,6543512.073141566,"4,745245","45,977893"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DP DIFFUSION,ZAC DE CHANTEGRILLET  ROUTE NATIONALE 6 69400 ARNAS,69400,833069.466193385,6546795.989035537,"4,719782","46,007861"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,TRANSPARENCE CONCEPTION, 682 ROUTE D’ANSE 69400 LIMAS,69400,832878.53,6542814.73,"4,716197","45,9720559"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,FENETRES & VOUS, 533 RUE DES GRILLONS 69400 GLEIZE,69400,831699.8555033358,6545392.851247673,"4,701696","45,995496"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,DSHWOOD FRANCE,BATIMENT 4 PARC MILLESIME 119 RUE MICHEL AULAS 69400 LIMAS,69400,832873.4288300604,6543206.168901317,"4,716241","45,975581"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CIFFREO & BONA, 1425 ROUTE NATIONALE 6 69400 ARNAS,69400,833084.2703718408,6547310.152574266,"4,720118","46,012487"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD CARRELAGES, 414 AVENUE DE LA PLAGE 69400 VILLEFRANCHE-SUR-SAONE,69400,835336.408463369,6543844.696503466,"4,748226","45,980843"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,OLLIER BOIS, 552 RUE DE L’ECOSSAIS 69400 LIMAS,69400,833763.5793580052,6543132.390588828,"4,727714","45,974742"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,FRANCE NEG, 176 RUE DES FRERES LUMIERE 69400 VILLEFRANCHE-SUR-SAONE,69400,832402.567404132,6543667.026268079,"4,71029","45,979822"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,TENDANCE MENUISERIES, 45 RUE D’ALMA 69400 VILLEFRANCHE-SUR-SAONE,69400,832925.6903357889,6544324.846879296,"4,71723","45,985642"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ESPACE MENUISERIE, 1525 ROUTE DE FRANS 69400 VILLEFRANCHE-SUR-SAONE,69400,834726.8708122858,6544186.232687577,"4,740452","45,984039"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SITES, 705 RUE DE LA COMBE 69400 PORTE DES PIERRES DOREES,69400,829605.3758127297,6543131.4468851285,"4,674022","45,97554"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ADB DECORATION,ZAC DES GRILLONS 111 RUE DE L’ANCIENNE DISTILLERIE 69400 GLEIZE,69400,831779.6961189859,6545668.153317488,"4,702804","45,997959"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,ZIP-CLIP,ZONE D'EPINAY 192 RUE DE LA CHAPELLE 69400 GLEIZE,69400,832194.4735359508,6546301.695762534,"4,708339","46,003582"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,FRANS BONHOMME, 161 IMPASSE DE LA CHARTONNIERE 69400 ARNAS,69400,833162.5895343376,6546926.867326063,"4,721022","46,009021"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SERF SOCIETE NOUVELLE, 1139 CHEMIN DES GRANDS MOULINS 69400 GLEIZE,69400,831267.5908039951,6543989.212835602,"4,695723","45,982943"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CALAD BOIS,ZA D EPINAY 715 RUE DE LA FARNIERE 69400 GLEIZE,69400,832254.9755774777,6546653.451273664,"4,709219","46,006737"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CALADE PARQUET, 118 RUE DES PEPINIERES 69400 ARNAS,69400,833447.6241328521,6547664.8620359395,"4,724913","46,015609"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,J. P BEURIER,ZAC D'EPINAY 836 RUE DE LA FARNIERE 69400 GLEIZE,69400,832105.2310840532,6546577.011924655,"4,707263","46,006078"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BOURG MATERIAUX, 414 AVENUE DE LA PLAGE 69400 VILLEFRANCHE-SUR-SAONE,69400,835336.408463369,6543844.696503466,"4,748226","45,980843"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,RD NEGOCE,ETAGE 1 71 RUE DE LA SOUS-PREFECTURE 69400 VILLEFRANCHE-SUR-SAONE,69400,832947.1,6544685.98,"4,717608","45,988889"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD CARRELAGES,VILLEFRANCHE SUR SAONE  AVENUE DE L’EUROPE 69400 VILLEFRANCHE-SUR-SAONE,69400,834868.1537088276,6544966.668498964,"4,742499","45,991037"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD NEGOCE, 414 AVENUE DE LA PLAGE 69400 VILLEFRANCHE-SUR-SAONE,69400,835336.408463369,6543844.696503466,"4,748226","45,980843"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,AU COEUR DE LA FENETRE, 537 AVENUE JOSEPH BALLOFFET 69400 VILLEFRANCHE-SUR-SAONE,69400,832211.4223381269,6545332.365826281,"4,708287","45,994852"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PLATTARD NEGOCE, 40 RUE GABRIEL VOISIN 69400 VILLEFRANCHE-SUR-SAONE,69400,834767.1952420305,6543460.1206270335,"4,740766","45,977494"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,LITT DIFFUSION SA,  RUE DE L’ECOSSAIS 69400 LIMAS,69400,833851.8670404982,6543295.162718473,"4,7289","45,97619"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMRA,ZONE INDUST.NORD 127 RUE DES PEPINIERES 69400 ARNAS,69400,833424.3020843784,6547634.250695425,"4,724603","46,015338"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BMRA, 109 IMPASSE DE CHAVANNE 69400 ARNAS,69400,833323.9173294862,6547804.894290028,"4,723354","46,016894"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,C B C,PORT DU BEAUJOLAIS 175 RUE DENIS PAPIN 69400 VILLEFRANCHE-SUR-SAONE,69400,834792.99,6545411.65,"4,741655","45,995058"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,PIM MOBILITY,LE VILLAGE BY CA 1 AVENUE DE CHAMPFLEURY 69410 CHAMPAGNE-AU-MONT-D'OR,69410,839011.7767701985,6523701.031489269,"4,78979","45,798755"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,SARL MENUI'PRO, 97 AVENUE DE LANESSAN 69410 CHAMPAGNE-AU-MONT-D'OR,69410,839037.9561698766,6523526.453178534,"4,790076","45,797178"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,CONCEPT M, 1 CHEMIN DU TRONCHON 69410 CHAMPAGNE-AU-MONT-D'OR,69410,838480.9400305554,6524025.256239574,"4,783052","45,801782"
46.73A,Commerce de gros (commerce interentreprises) de bois et de materiaux de construction,BALMONT BOIS,ZI DU TRONCHON 7 CHEMIN DES ANCIENNES VIGNES 69410 CHAMPAGNE-AU-MONT-D'OR,69410,837856.8943461671,6524054.181485037,"4,775028","45,802169"
